Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	8,112	8,20549	3,248	22,3995	18,82961	18,78588	5,085567	20,30974	20,62642	13,16168	30,43291	2,048562	2,4375	0,9202465	2,4375	0,01282051	1,389006	0,2613694	0,9767241	60,45684	394,6598	-2,163234	0,87	119,9277	5,196781	104,	143,	2,424962	119,9408	121,0254	0,2532043	5,198393	27,02329	0,01895306	2,314076	427,2903	25,36967	0,5844058	241,4972	99,16457	3,597574	4,534425	1,191753	1,323484	-0,4536938	0,9644222	135,7162	5,066216	120,	161,	121,3669	5,750144	103,	145,	102,6985	6,321697	87,	133,	24,33538	2,973962	10,	37,	36,74692	6,485722	15,	48,	119,9277	5,196781	104,	143,	119,2838	8,427948	93,99999	135,	133,6331	7,877698	110,	152,	152,3015	10,10052	122,	168,	51,77818	3,153604	44,77541	61,23899	2,356987	0,5706781	3,900676	4,069021	12,25206	1,242181	8,525517	11,5293	
S01	2	8,008	8,043393	3,1465	21,783	18,30219	18,455	5,071009	20,19363	20,03529	12,561	29,1025	2,151967	2,483871	0,9137577	2,483871	0,01298701	1,319829	0,2698712	0,9836334	62,29661	377,34	-2,195497	0,91	124,5057	5,113698	110,	142,	0,2999442	124,5109	122,959	0,2346198	5,106739	26,07878	0,01218025	2,439419	480,7002	25,22152	0,5477562	250,8271	98,44669	3,673681	4,75371	1,138566	1,350097	-0,4189556	0,9588987	137,5647	4,115454	125,	152,	125,0444	5,815424	109,	146,	110,8424	6,469535	95,	131,	22,91737	3,619539	12,	37,	28,08722	5,34445	11,	43,	124,5057	5,113698	110,	142,	117,4353	4,811783	103,	130,	129,9556	6,985207	109,	146,	144,1576	6,719205	124,	160,	53,15563	2,50425	47,13607	60,66838	2,299674	0,6093454	-0,4716376	3,890893	9,473804	0,2452771	8,737972	10,13186	
S01	3	8,112	8,096037	2,9435	21,5775	18,16443	18,23587	4,881927	18,71579	18,6419	12,36938	31,69556	1,775982	2,689655	0,926824	2,689655	0,01282051	1,402689	0,2919466	0,9899288	53,16227	376,7189	3,608558	0,91	126,1988	10,36549	108,	152,	-0,8330025	126,2009	119,0918	0,376128	10,3724	107,5868	0,003494547	12,47996	110,0039	106,9482	0,3016669	253,6257	415,3125	4,280035	5,953794	4,555071	2,067581	-0,354766	0,9608766	141,0814	8,504916	122,	166,	127,371	11,47343	106,	156,	110,1645	12,20754	87,	139,	24,26821	4,380474	14,	41,	32,88004	8,523528	15,	58,	126,1988	10,36549	108,	152,	113,9186	8,306203	88,99999	133,	127,629	9,542987	98,99999	149,	144,8355	9,611829	116,	168,	54,10543	3,552207	45,81686	64,76205	2,279989	0,5216264	0,7151102	3,14988	11,25096	0,5843115	10,21282	13,0039	
S01	4	8,32	8,332027	3,654	23,427	19,57549	19,63414	5,521517	23,94101	24,14157	13,0649	29,05605	2,225044	2,222222	0,8932266	2,222222	0,0125	1,273528	0,2530457	0,9865546	81,85042	403,8442	-7,587661	0,91	132,1155	9,526496	101,	155,	1,691527	132,1127	136,1074	-1,060391	9,522652	90,68089	0,008385795	3,451592	110,9576	92,75643	0,4609574	266,3743	367,574	4,116952	5,272639	1,374547	1,476771	-0,4731857	0,9807773	147,8509	9,668042	119,	172,	133,5721	10,32508	99,	157,	114,9491	9,378917	83,	137,	24,4118	3,099397	11,	34,	33,26832	5,371202	14,	51,	132,1155	9,526496	101,	155,	107,1491	9,616971	82,99999	136,	121,4279	11,52401	97,99999	156,	140,0509	10,64968	118,	172,	56,53632	4,357681	43,46328	65,50718	2,242791	1,055733	2,1641	5,40999	11,99748	0,152619	12,09191	12,45534	
S01	5	8,008	8,014622	2,7405	20,961	17,75114	17,84907	4,666533	17,10072	17,13239	12,68006	31,98993	1,967895	2,851852	0,935907	2,851852	0,01298701	1,466102	0,2899109	0,9871645	45,70127	367,2313	-6,23669	0,92	119,5401	4,727942	111,	141,	1,450466	119,5503	122,959	0,8318982	4,740441	22,47178	0,0146772	3,04757	598,8349	20,60681	0,517323	240,6919	79,3797	3,454038	4,516727	1,437531	1,408877	-0,3834149	0,9394888	136,8155	4,378342	126,	151,	120,6126	5,296312	109,	144,	101,201	5,724598	91,	128,	23,3314	2,609031	15,	39,	39,22995	5,771944	21,	51,	119,5401	4,727942	111,	141,	118,1845	4,728182	104,	129,	134,3874	7,795815	111,	146,	153,799	8,933011	127,	164,	51,64113	2,774575	47,14227	59,96486	3,013823	0,9210179	-0,2507697	3,688592	12,94875	1,173479	9,428311	12,52767	
S01	6	7,696	7,754461	3,045	20,961	17,52289	17,57441	4,700974	17,35406	17,52296	11,15361	28,0728	2,120816	2,466667	0,9234579	2,466667	0,01351351	1,407784	0,3177219	0,9805323	52,12382	342,957	20,38847	0,9	116,0085	3,920076	107,	135,	1,289029	116,0017	117,9316	0,4517538	3,933565	15,47293	0,01744601	3,144433	853,4908	13,42823	0,5421345	233,331	50,56848	3,317421	4,424023	1,610016	1,450156	-0,3413778	0,9155064	132,4013	4,254987	123,	148,	116,8816	4,418635	105,	136,	98,71899	4,81641	89,	126,	23,04135	2,314188	13,	30,	38,02914	6,031404	14,	52,	116,0085	3,920076	107,	135,	122,5987	5,19956	107,	132,	138,1184	6,37281	119,	150,	156,281	9,093674	129,	166,	50,13087	2,447473	45,68261	57,47329	2,958717	0,5027256	2,733506	4,466894	12,23204	1,748137	6,987626	11,64246	
S01	7	7,904	8,00832	2,9435	21,372	17,96961	17,96474	4,795809	18,06132	18,14577	12,96039	29,72287	2,065368	2,62069	0,9274567	2,62069	0,01315789	1,422504	0,2827148	0,9751109	52,34169	366,4937	-17,41523	0,85	123,6688	6,559583	106,	144,	0,4787958	123,6765	121,0254	0,2155804	6,561891	43,05841	0,01419257	2,167144	262,5121	42,96125	0,5764055	249,3725	169,6778	3,883422	4,850532	1,057311	1,30745	-0,4964548	0,9794723	140,7244	5,584157	123,	157,	125,2846	7,065292	106,	147,	104,982	7,862442	88,	129,	24,46589	2,423553	15,	33,	38,71454	6,16916	23,	52,	123,6688	6,559583	106,	144,	114,2756	5,908134	97,99999	132,	129,7154	7,238482	108,	149,	150,018	8,005989	126,	167,	53,38185	2,647853	45,93895	61,32541	2,520467	0,6466234	0,5805962	3,725832	13,23193	0,7905458	10,86029	12,59379	
S01	8	7,8	7,749823	3,1465	21,372	17,79841	17,86914	4,95978	19,31748	19,19081	11,44788	27,22813	1,834017	2,419355	0,9076716	2,419355	0,01333333	1,304782	0,2484644	0,9943776	61,22015	347,5121	1,711299	0,94	123,936	10,51086	103,	154,	-0,4547981	123,9286	127,9863	0,1458328	10,51772	110,6225	0,00330444	10,91952	95,01862	112,7815	0,3416381	249,2209	440,2064	4,368948	6,042268	4,712255	2,005973	-0,3707157	0,9674976	139,2747	8,986306	121,	167,	125,0786	11,72238	102,	159,	107,4392	11,8107	83,	136,	24,01783	4,177349	9,	39,	34,34765	8,159866	12,	53,	123,936	10,51086	103,	154,	115,7253	9,241763	87,99999	134,	129,9214	11,30714	95,99999	153,	147,5608	9,520256	119,	172,	53,24438	4,113316	44,50735	65,58433	2,425593	0,6877862	-1,02322	4,488952	11,59699	0,656106	13,05708	13,56531	
S01	9	7,28	7,322065	3,045	20,139	16,74358	16,70193	4,604185	16,64681	16,69959	9,416024	24,08733	1,673999	2,333333	0,9086486	2,333333	0,01428571	1,339959	0,2988023	0,9823049	52,58067	301,3098	-3,086194	0,94	117,9617	11,2437	97,	147,	-0,5893623	117,9624	105,1699	0,3103433	11,23916	126,3186	0,00398687	8,12735	75,97134	125,4472	0,3599957	237,81	493,6612	4,347689	5,892009	3,25791	1,859754	-0,4092555	0,9755871	135,2561	10,04353	116,	159,	118,6565	12,25553	96,	153,	100,0304	12,07104	79,	134,	22,78901	3,625722	16,	45,	39,24534	7,238454	14,	57,	117,9617	11,2437	97,	147,	119,7439	7,914627	95,99999	139,	136,3435	11,44783	102,	159,	154,9696	11,32319	121,	176,	50,92607	4,104352	42,22073	63,23913	3,31735	0,7243438	-1,144319	5,313318	12,61383	0,613416	10,77358	12,73627	
S01	10	7,28	7,390913	2,7405	19,5225	16,61561	16,76358	4,545418	16,22457	16,0979	10,63386	24,61679	1,643197	2,592592	0,9222088	2,592592	0,01428571	1,353896	0,2948479	0,9731545	47,46979	316,8211	-4,725404	0,91	127,9768	11,1425	109,	148,	-1,415457	127,9778	114,0645	-0,05271337	11,13974	124,0938	0,006624481	5,731181	97,46588	123,1329	0,4165999	258,4516	486,8003	4,224403	5,496436	2,374013	1,732518	-0,4580298	0,9807224	143,2155	9,493688	125,	163,	129,8459	12,04092	107,	151,	110,8751	12,40176	89,	132,	25,43907	3,383292	10,	37,	34,53474	7,100698	20,	52,	127,9768	11,1425	109,	148,	111,7845	6,594831	91,99999	130,	125,1541	7,615301	104,	148,	144,1249	7,291708	123,	166,	54,99825	2,852491	46,44077	62,99898	1,847382	0,7632667	1,184828	4,137182	12,12098	0,2015502	11,6064	12,72563	
