Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	7,8	7,810573	3,1465	21,372	17,79841	17,91972	4,947569	19,22248	19,20136	11,79602	27,81793	1,963539	2,419355	0,9111636	2,419355	0,01333333	1,311231	0,2277653	0,9866434	60,81681	352,1093	16,08141	0,92	125,807	8,869664	111,	151,	0,6128089	125,831	127,0859	0,9156396	8,86035	78,5058	0,008209378	3,682526	161,8717	76,57752	0,4502359	253,0909	302,6275	4,051439	5,193298	1,419532	1,517442	-0,4632667	0,9779229	142,1218	7,358585	126,	163,	127,3917	9,340234	111,	155,	107,8765	10,64671	88,	137,	24,65086	2,635371	16,	35,	36,71791	7,550194	21,	57,	125,807	8,869664	111,	151,	112,8782	6,959394	91,99999	129,	127,6083	9,202782	99,99999	144,	147,1235	9,707828	118,	167,	54,15596	3,344527	47,63543	64,18954	2,333105	0,7065182	-0,2135503	2,074286	12,65774	0,7732801	10,48468	14,97758	1	0,0000579783	0,001114487
S01	2	8,008	8,108015	2,9435	21,372	18,08373	18,08839	4,732323	17,5863	17,82908	12,25695	31,70037	2,486142	2,655172	0,9338068	2,655172	0,01298701	1,479543	0,2705353	0,9757937	48,56305	375,8365	-11,48561	0,87	123,4199	8,263018	99,	150,	1,564296	123,4159	124,8203	0,09200341	8,256861	68,17574	0,01546585	2,250501	147,3075	66,98158	0,5993761	248,9419	265,676	3,959842	4,835373	1,205927	1,327165	-0,5340824	0,9851401	139,3299	7,066475	113,	160,	124,9831	8,62329	97,	154,	105,9269	9,894723	85,	139,	24,58013	2,570084	15,	36,	36,45642	7,324618	16,	54,	123,4199	8,263018	99,	150,	115,6701	8,776624	94,99999	142,	130,0169	9,67229	101,	158,	149,0731	11,02438	116,	170,	53,18884	3,618901	42,33214	63,71215	2,266672	0,6945868	-0,4784649	4,350432	12,39646	1,248518	8,650905	9,214066	1	0,0000579783	0,001019624
S01	3	7,904	7,982391	3,045	21,372	17,68429	17,63826	4,652108	16,99516	17,18517	11,58874	31,13641	1,964884	2,533333	0,9278561	2,533333	0,01315789	1,464117	0,3118246	0,9782783	51,49439	344,5367	-30,48953	0,85	139,3897	9,036982	118,	162,	-0,7162955	139,3992	137,0547	0,008666216	9,05247	81,94721	0,003901482	8,758986	176,168	79,46432	0,2985291	281,704	309,0984	4,207047	5,774839	2,796303	1,86798	-0,3709957	0,9633006	155,3749	10,36436	131,	178,	142,6508	10,12632	117,	168,	120,1276	7,435266	105,	140,	27,73195	3,272696	15,	38,	35,12562	4,589479	22,	48,	139,3897	9,036982	118,	162,	99,62512	8,124957	76,99999	124,	112,3492	8,550273	86,99999	138,	134,8724	6,624133	115,	150,	59,80293	3,208421	50,17767	69,0139	0,9608802	0,7856976	-1,040001	3,317973	13,71739	1,708693	8,591314	15,78102	1	0,0000579783	0,0009853502
S01	4	7,176	7,327174	2,639	19,1115	16,1689	16,19242	4,263097	14,27171	14,45116	10,08888	25,1358	1,587334	2,653846	0,9313545	2,653846	0,01449275	1,457507	0,3041764	0,9675967	39,92113	297,784	-10,03093	0,88	119,6183	4,865429	111,	137,	0,9381559	119,6376	118,0234	1,028338	4,860559	23,62504	0,01688016	1,660527	538,0019	22,9425	0,5700469	241,0947	90,10946	3,505508	4,407827	0,6762536	1,176206	-0,4589152	0,9631068	136,8793	4,252094	129,	149,	121,6976	5,677358	111,	141,	100,2524	6,654593	90,	128,	25,26829	2,788251	16,	36,	41,40854	7,637541	13,	53,	119,6183	4,865429	111,	137,	118,1207	4,040243	106,	126,	133,3024	6,434151	114,	144,	154,7475	9,249184	127,	165,	51,92537	2,348983	47,97425	58,97232	2,273817	0,5415422	0,6491907	3,640309	13,89535	1,967118	7,993994	14,31375	1	0,0000579783	0,0008274494
S01	5	7,696	7,632301	3,045	20,961	17,52289	17,62617	4,888805	18,76857	18,65245	11,13522	26,58864	1,647416	2,466667	0,9111934	2,466667	0,01351351	1,301686	0,2617914	0,9962264	58,42377	344,1345	-1,914483	0,91	132,513	10,26155	109,	154,	-0,6726131	132,5234	129,8047	-0,1713262	10,26057	105,2792	0,002667435	14,05142	112,4129	106,5765	0,2361704	266,5284	412,2545	4,342995	6,090934	4,00117	2,044819	-0,3459666	0,9600852	149,5901	9,06738	131,	172,	134,5281	11,47406	107,	158,	113,399	11,25145	87,	137,	25,3487	3,241977	17,	34,	37,0964	7,378054	17,	56,	132,513	10,26155	109,	154,	105,4099	7,469968	82,99999	124,	120,4719	9,176021	96,99999	148,	141,601	8,799657	118,	168,	56,92214	3,303295	47,01226	65,77242	2,164867	1,412889	1,615836	6,403534	13,4474	0,4490179	12,82816	14,79445	1	0,0000579783	0,00108817
S01	6	7,592	7,797236	2,9435	20,55	17,47562	17,54939	4,689522	17,26962	17,50185	11,17582	27,43375	1,899543	2,517241	0,9242523	2,517241	0,01369863	1,407046	0,3072553	0,9619755	50,23991	344,1728	4,36086	0,87	117,483	5,445414	102,	133,	0,169261	117,5045	118,0234	-0,06499638	5,438633	29,57873	0,01560622	1,901309	361,5356	28,85446	0,601019	236,3887	113,5166	3,725506	4,623724	0,9588652	1,252	-0,4900985	0,9748302	135,2774	4,818531	118,	149,	118,9472	5,86222	102,	137,	98,20189	7,066129	83,	121,	23,90189	2,596409	14,	33,	42,03302	7,536436	16,	55,	117,483	5,445414	102,	133,	119,7226	5,75912	106,	137,	136,0528	6,017611	118,	153,	156,7981	7,59937	134,	172,	50,9676	2,255016	44,20255	57,71421	2,88259	0,3836958	1,731503	3,198993	13,73833	1,177411	10,2061	13,09743	1	0,0000579783	0,001001263
S01	7	8,36272	8,383605	3,451	23,016	19,01464	19,01165	5,19022	21,15422	21,207	13,15043	33,22155	1,788422	2,365023	0,9159235	2,352941	0,01243615	1,359894	0,2807555	0,9855195	72,03986	390,4079	50,70913	0,93	141,6101	8,785171	104,	158,	2,058707	141,6269	147,0234	-1,238072	8,791684	77,29372	0,006362084	5,220588	149,9676	72,58875	0,4423469	286,1339	285,1345	4,074552	5,434512	2,376196	1,672718	-0,4127511	0,9699356	157,3047	9,079673	120,	171,	144,6454	9,831558	102,	162,	122,8502	8,891798	89,	143,	27,43465	3,403883	14,	41,	33,82673	6,58577	15,	48,	141,6101	8,785171	104,	158,	97,6953	12,4349	83,99999	135,	110,3546	14,21512	92,99999	153,	132,1498	11,2834	112,	166,	60,57605	5,344463	44,54266	66,8864	1,036541	1,312191	-0,006780661	4,973113	13,28401	1,092865	10,00541	11,05194	1	0,0000579783	0,001226486
S01	8	7,8	7,793633	3,5525	22,194	18,17828	18,15687	5,170759	20,99588	20,92199	10,29526	25,59362	1,953073	2,142857	0,886246	2,142857	0,01333333	1,252268	0,2546233	0,9887878	73,67596	342,4163	6,7265	0,93	114,9175	11,44757	89,	142,	-0,665213	114,9307	112,1328	-0,1134565	11,44489	130,9856	0,002334777	13,54796	60,66665	132,6409	0,2373659	231,109	517,015	4,462711	6,247579	4,062701	2,056457	-0,358232	0,9667195	130,4543	9,586183	109,	152,	115,5332	12,67861	87,	146,	98,78452	12,87776	69,	132,	22,92111	4,284057	12,	41,	36,4412	8,998809	17,	58,	114,9175	11,44757	89,	142,	124,5457	7,18189	103,	146,	139,4668	10,15559	109,	168,	156,2155	11,07183	123,	186,	49,57123	3,707086	38,72051	60,69249	2,943275	1,09565	-0,3015568	6,230224	11,38464	1,059644	8,205705	13,89197	1	0,0000579783	0,001217305
S01	9	8,32	8,342134	3,248	22,605	18,73912	18,80049	5,052419	20,04585	20,25696	13,17074	33,10458	2,345306	2,5	0,923018	2,5	0,0125	1,393798	0,302692	0,9853594	59,02929	396,3254	10,26254	0,88	126,4878	7,966734	80,	140,	8,243046	126,4733	128,8984	-2,20037	7,951344	63,22386	0,01121213	2,843645	105,2098	61,40081	0,5349224	255,2751	242,7596	3,865861	4,913104	1,363639	1,415386	-0,4699119	0,9752387	142,4238	7,900634	94,	157,	128,0742	8,857527	76,	143,	108,9708	7,77622	70,	123,	24,54065	2,852684	6,	32,	35,40016	4,765219	24,	50,	126,4878	7,966734	80,	140,	112,5762	16,14128	97,99999	161,	126,9258	17,35806	112,	179,	146,0292	12,99026	132,	185,	54,39594	6,810764	33,96364	60,10772	2,23662	1,428213	1,855313	6,521257	12,36555	1,98475	6,411302	12,53976	1	0,0000579783	0,001162224
S01	10	8,112	8,164912	2,7405	21,372	17,91254	17,84303	4,532091	16,12957	16,46736	13,24493	34,18867	1,998931	2,888889	0,9451193	2,888889	0,01282051	1,582769	0,2998933	0,9815782	41,68979	376,8392	-21,08518	0,82	119,3788	4,475663	106,	133,	0,5863674	119,4066	118,0234	-0,06371109	4,46312	19,91944	0,01682796	2,858796	577,2756	19,49514	0,5498319	240,1551	75,12178	3,474493	4,547526	1,443137	1,408076	-0,3909258	0,9435368	138,1964	4,527124	122,	148,	121,0579	4,967194	106,	138,	98,90343	5,281034	89,	118,	24,15451	2,089661	15,	34,	43,84549	5,908985	24,	55,	119,3788	4,475663	106,	133,	116,8036	5,398783	107,	133,	133,942	5,647352	117,	149,	156,0966	6,365524	137,	166,	51,84612	1,994717	45,86197	57,82846	2,987536	0,8988245	0,2910624	3,454374	14,58836	0,903888	11,87669	12,06677	1	0,0000579783	0,0009351649
S01	11	6,713389	6,713529	2,714772	18,084	14,96651	14,98826	4,031346	12,7622	12,80443	8,05425	21,70804	1,37106	2,413466	0,9209625	2,413466	0,01549143	1,396501	0,2897114	0,9879602	44,6775	241,1607	37,74027	0,89	117,6511	6,141409	110,	142,	4,395482	117,6847	116,2109	2,014821	6,143715	37,74524	0,0268664	1,766871	335,1961	36,20367	0,6115484	237,0859	143,0478	3,412977	4,265845	0,8858069	1,250936	-0,4725796	0,9636477	137,234	4,610033	128,	155,	119,0624	6,787088	109,	146,	96,6766	7,512845	86,	128,	23,68653	2,279021	17,	32,	45,7078	5,849386	24,	57,	117,6511	6,141409	110,	142,	117,766	5,921987	99,99999	127,	135,9376	8,979199	109,	146,	158,3234	10,44113	127,	169,	51,15624	3,2334	47,23366	60,85644	3,408284	1,071602	0,1934762	3,808122	14,9162	1,392576	10,73847	15,63682	1	0,0000579783	0,0007399305
